Idx	myDate	Value	SMA	Distance	Account	Trend
336	2001-04-16	0,00	0,00	0,0000	0,00	0
337	2001-04-17	0,00	0,00	0,0000	0,00	0
338	2001-04-18	0,00	0,00	0,0000	0,00	0
339	2001-04-19	0,00	0,00	0,0000	0,00	0
340	2001-04-20	0,00	0,00	0,0000	0,00	0
341	2001-04-23	0,00	0,00	0,0000	0,00	0
342	2001-04-24	0,00	0,00	0,0000	0,00	0
343	2001-04-25	0,00	0,00	0,0000	0,00	0
344	2001-04-26	0,00	0,00	0,0000	0,00	0
345	2001-04-27	0,00	0,00	0,0000	0,00	0
346	2001-04-30	0,00	0,00	0,0000	0,00	0
347	2001-05-01	0,00	0,00	0,0000	0,00	0
348	2001-05-02	0,00	0,00	0,0000	0,00	0
349	2001-05-03	0,00	0,00	0,0000	0,00	0
350	2001-05-04	0,00	0,00	0,0000	0,00	0
351	2001-05-07	0,00	0,00	0,0000	0,00	0
352	2001-05-08	0,00	0,00	0,0000	0,00	0
353	2001-05-09	0,00	0,00	0,0000	0,00	0
354	2001-05-10	0,00	0,00	0,0000	0,00	0
355	2001-05-11	0,00	0,00	0,0000	0,00	0
356	2001-05-14	0,00	0,00	0,0000	0,00	0
357	2001-05-15	0,00	0,00	0,0000	0,00	0
358	2001-05-16	0,00	0,00	0,0000	0,00	0
359	2001-05-17	0,00	0,00	0,0000	0,00	0
360	2001-05-18	0,00	0,00	0,0000	0,00	0
361	2001-05-21	0,00	0,00	0,0000	0,00	0
362	2001-05-22	0,00	0,00	0,0000	0,00	0
363	2001-05-23	0,00	0,00	0,0000	0,00	0
364	2001-05-24	0,00	0,00	0,0000	0,00	0
365	2001-05-25	0,00	0,00	0,0000	0,00	0
366	2001-05-28	0,00	0,00	0,0000	0,00	0
367	2001-05-29	0,00	0,00	0,0000	0,00	0
368	2001-05-30	0,00	0,00	0,0000	0,00	0
369	2001-05-31	0,00	0,00	0,0000	0,00	0
370	2001-06-01	0,00	0,00	0,0000	0,00	0
371	2001-06-04	0,00	0,00	0,0000	0,00	0
372	2001-06-05	0,00	0,00	0,0000	0,00	0
373	2001-06-06	0,00	0,00	0,0000	0,00	0
374	2001-06-07	0,00	0,00	0,0000	0,00	0
375	2001-06-08	0,00	0,00	0,0000	0,00	0
376	2001-06-11	0,00	0,00	0,0000	0,00	0
377	2001-06-12	0,00	0,00	0,0000	0,00	0
378	2001-06-13	0,00	0,00	0,0000	0,00	0
379	2001-06-14	0,00	0,00	0,0000	0,00	0
380	2001-06-15	0,00	0,00	0,0000	0,00	0
381	2001-06-18	0,00	0,00	0,0000	0,00	0
382	2001-06-19	0,00	0,00	0,0000	0,00	0
383	2001-06-20	0,00	0,00	0,0000	0,00	0
384	2001-06-21	0,00	0,00	0,0000	0,00	0
385	2001-06-22	0,00	0,00	0,0000	0,00	0
386	2001-06-25	0,00	0,00	0,0000	0,00	0
387	2001-06-26	0,00	0,00	0,0000	0,00	0
388	2001-06-27	0,00	0,00	0,0000	0,00	0
389	2001-06-28	0,00	0,00	0,0000	0,00	0
390	2001-06-29	0,00	0,00	0,0000	0,00	0
391	2001-07-02	0,00	0,00	0,0000	0,00	0
392	2001-07-03	0,00	0,00	0,0000	0,00	0
393	2001-07-04	0,00	0,00	0,0000	0,00	0
394	2001-07-05	0,00	0,00	0,0000	0,00	0
395	2001-07-06	0,00	0,00	0,0000	0,00	0
396	2001-07-09	0,00	0,00	0,0000	0,00	0
397	2001-07-10	0,00	0,00	0,0000	0,00	0
398	2001-07-11	0,00	0,00	0,0000	0,00	0
399	2001-07-12	0,00	0,00	0,0000	0,00	0
400	2001-07-13	0,00	0,00	0,0000	0,00	0
401	2001-07-16	0,00	0,00	0,0000	0,00	0
402	2001-07-17	0,00	0,00	0,0000	0,00	0
403	2001-07-18	0,00	0,00	0,0000	0,00	0
404	2001-07-19	0,00	0,00	0,0000	0,00	0
405	2001-07-20	0,00	0,00	0,0000	0,00	0
406	2001-07-23	0,00	0,00	0,0000	0,00	0
407	2001-07-24	0,00	0,00	0,0000	0,00	0
408	2001-07-25	0,00	0,00	0,0000	0,00	0
409	2001-07-26	0,00	0,00	0,0000	0,00	0
410	2001-07-27	0,00	0,00	0,0000	0,00	0
411	2001-07-30	0,00	0,00	0,0000	0,00	0
412	2001-07-31	0,00	0,00	0,0000	0,00	0
413	2001-08-01	0,00	0,00	0,0000	0,00	0
414	2001-08-02	0,00	0,00	0,0000	0,00	0
415	2001-08-03	0,00	0,00	0,0000	0,00	0
